GRPO DocEntry,Document Number,Series,Customer/Supplier No.,Customer/Supplier Name,Contact Person,Supplier Ref No,Currency Type,Posting Date,Due Date,Document Date,Document Type,GSTTransactionType,Document Number.1,Row Number,Item No.,Item Description,Quantity,Price,WarehouseCode,CostingCode,Tax Code,ProjectCode,WTax Liable,Discount %,HSN/SAC,GL Account,Total Before Discount FC,Total Before Discount,Discount,Total DP,Freight FC,Freight,Rounding,Tax,WTax Amt,Total Payment Due FC,Tax amount FC,Total Paymt Due
8399,24351311,622,GLD30860,3S Products And Services,,24253285,INR,2025-01-16,2025-01-16,2025-01-16,I,GA,24351311,3.0,CCC MECH27354A,MECH27354A CCC,100,400.0,BLR,,CSGST18,,Y,0,84.87.9000,222601,0.0,40000.0,0,0,0,0.0,0,25082.64,0,0.0,25082.64,164430.64
8399,24351311,622,GLD30860,3S Products And Services,,24253285,INR,2025-01-16,2025-01-16,2025-01-16,I,GA,24351311,4.0,CCC MECH27355A,MECH27355A CCC,100,200.0,BLR,,CSGST18,,Y,0,84.87.9000,222601,0.0,20000.0,0,0,0,0.0,0,25082.64,0,0.0,25082.64,164430.64
8400,24351312,622,GLD30860,3S Products And Services,,24253260,INR,2025-01-16,2025-01-16,2025-01-16,I,GA,24351312,,GL/PNTD-01,Netline test coupon,4,500.0,BLR,,CSGST18,,Y,0,84.87.9000,222601,0.0,2000.0,0,0,0,0.0,0,360.0,0,0.0,360.0,2360.0
8397,24351309,622,GLD30303,KAPASI INC,,4280/2024-25,INR,2025-01-15,2025-01-15,2025-01-15,I,GA,24351309,1.0,GS40-000022-000-000,BSOS-440-18,750,17.5,BLR,,CSGST18,,N,0,84.87.9000,222601,0.0,13125.0,0,0,0,0.0,0,52682.4,0,0.0,52682.4,345362.4
8397,24351309,622,GLD30303,KAPASI INC,,4280/2024-25,INR,2025-01-15,2025-01-15,2025-01-15,I,GA,24351309,,GS50-000002-000-000,SOS-440-6,2000,14.5,BLR,,CSGST18,,N,0,84.87.9000,222601,0.0,29000.0,0,0,0,0.0,0,52682.4,0,0.0,52682.4,345362.4
8371,24351283,622,GLD30069,AMI Metals UK Ltd,Lee Turner,KS IV-414513/TX IV-318829,USD,2025-01-07,2025-01-07,2025-01-07,I,--,24351283,2.0,GR03-000194-000-000,Al 7050 T7451 MMS1420 2.5 X 5.5 X 25 INCH,16,155.77,BLR,,IGST0,,N,0,75.04.2930,222601,2492.32,213492.13,0,0,630,53965.8,0,0.0,0,17082.4,0.0,1463278.38
8393,24351305,622,GLD30076,Sheen Electroplaters Pvt Ltd,DON BOSCH,24-25/6706,INR,2025-01-13,2025-01-13,2025-01-13,I,GA,24351305,5.0,SC001,SubContract Item,60,34.4,QUALITY,,CSGST12,,Y,0,84.87.9000,132210,0.0,2064.0,0,0,0,0.0,0,2039.14,0,0.0,2039.14,19031.94
8393,24351305,622,GLD30076,Sheen Electroplaters Pvt Ltd,DON BOSCH,24-25/6706,INR,2025-01-13,2025-01-13,2025-01-13,I,GA,24351305,6.0,SC001,SubContract Item,57,45.5,QUALITY,,CSGST12,,Y,0,84.87.9000,132210,0.0,2593.5,0,0,0,0.0,0,2039.14,0,0.0,2039.14,19031.94
8393,24351305,622,GLD30076,Sheen Electroplaters Pvt Ltd,DON BOSCH,24-25/6706,INR,2025-01-13,2025-01-13,2025-01-13,I,GA,24351305,7.0,SC001,SubContract Item,352,30.3,QUALITY,,CSGST12,,Y,0,84.87.9000,132210,0.0,10665.6,0,0,0,0.0,0,2039.14,0,0.0,2039.14,19031.94
8393,24351305,622,GLD30076,Sheen Electroplaters Pvt Ltd,DON BOSCH,24-25/6706,INR,2025-01-13,2025-01-13,2025-01-13,I,GA,24351305,8.0,SC001,SubContract Item,59,28.3,QUALITY,,CSGST12,,Y,0,84.87.9000,132210,0.0,1669.7,0,0,0,0.0,0,2039.14,0,0.0,2039.14,19031.94
8394,24351306,622,GLD30076,Sheen Electroplaters Pvt Ltd,DON BOSCH,24-25/6583,INR,2025-01-13,2025-01-13,2025-01-13,I,GA,24351306,,SC001,SubContract Item,139,60.0,QUALITY,,CSGST12,,Y,0,84.87.9000,132210,0.0,8340.0,0,0,0,0.0,0,1000.8,0,0.0,1000.8,9340.8
8398,24351310,622,GLD30182,STAR HENTZEN COATINGS PVT LTD,Reena Paigude,SH/0863/24-25,INR,2025-01-16,2025-01-16,2025-01-16,I,GA,24351310,,GR09-000051-000-000,MIL-PRF-85285F TYPE I CLASS H (RAL9005) SGL,5,21800.0,BLR,,IGST18,,Y,0,32.08.9029,222501,0.0,109000.0,0,0,0,0.0,0,30996.0,0,0.0,30996.0,203196.0
8398,24351310,622,GLD30182,STAR HENTZEN COATINGS PVT LTD,Reena Paigude,SH/0863/24-25,INR,2025-01-16,2025-01-16,2025-01-16,I,GA,24351310,1.0,GR09-000035-000-000,MIL-PRF-23377K TYPE I CLASS C2 HIGH SOLID YELLOW EPOXY PRIMER CHROMATED HENTZEN PART AD9318-FD/AD2298-FD,4,15800.0,BLR,,IGST18,,Y,0,32.08.9029,222101,0.0,63200.0,0,0,0,0.0,0,30996.0,0,0.0,30996.0,203196.0
8396,24351308,622,GLD30437,ADVANCED PRECISION ENGINEERING COMPANY,,APEC-2024-25-363,INR,2025-01-15,2025-01-15,2025-01-15,I,GA,24351308,,30A2520125-503,SWITCH LINK ASSEMBLY,8,95.0,BLR,,CSGST18,GDTL 566A,Y,0,84.87.9000,222601,0.0,760.0,0,0,0,0.0,0,136.8,0,0.0,136.8,896.8
8395,24351307,622,GLD30437,ADVANCED PRECISION ENGINEERING COMPANY,,APEC-2024-25-364,INR,2025-01-15,2025-01-15,2025-01-15,I,GA,24351307,1.0,30A2520125-503,SWITCH LINK ASSEMBLY,27,95.0,BLR,,CSGST18,GDTL 566A,Y,0,84.87.9000,222601,0.0,2565.0,0,0,0,0.0,0,1316.7,0,0.0,1316.7,8631.7
8395,24351307,622,GLD30437,ADVANCED PRECISION ENGINEERING COMPANY,,APEC-2024-25-364,INR,2025-01-15,2025-01-15,2025-01-15,I,GA,24351307,,30A2520125-501,SWITCH LINK ASSEMBLY,50,95.0,BLR,,CSGST18,GDTL 566A,Y,0,84.87.9000,222601,0.0,4750.0,0,0,0,0.0,0,1316.7,0,0.0,1316.7,8631.7
8371,24351283,622,GLD30069,AMI Metals UK Ltd,Lee Turner,KS IV-414513/TX IV-318829,USD,2025-01-07,2025-01-07,2025-01-07,I,--,24351283,,GR03-000165-000-000,AL 7075 T7351 MMS 159 3.5 X 9 X 17 INCH,22,219.29,BLR,,IGST0,,N,0,76.10.9030,222601,4824.38,413256.39,0,0,630,53965.8,0,0.0,0,17082.4,0.0,1463278.38
8371,24351283,622,GLD30069,AMI Metals UK Ltd,Lee Turner,KS IV-414513/TX IV-318829,USD,2025-01-07,2025-01-07,2025-01-07,I,--,24351283,1.0,GR03-000193-000-000,Al 7050 T7451 MMS1420 6 X 9.5 X 26 INCH,14,652.55,BLR,,IGST0,,N,0,75.04.2930,222601,9135.7,782564.06,0,0,630,53965.8,0,0.0,0,17082.4,0.0,1463278.38
8383,24351295,622,GLD30240,thyssenkrupp Aerospace India Private Limited,praveen,BLR102501IV0017,USD,2025-01-08,2025-01-08,2025-01-08,I,--,24351295,,GR03-000150-000-000,AL7075 T7351 MMS159 THK 1.57 X 7.0 X 9.55 INCH,17,53.0,BLR,,CSGST0,,N,0,84.87.9000,222101,901.0,77341.84,0,0,0,0.0,0,0.0,0,5809.0,0.0,498644.56
8383,24351295,622,GLD30240,thyssenkrupp Aerospace India Private Limited,praveen,BLR102501IV0017,USD,2025-01-08,2025-01-08,2025-01-08,I,--,24351295,1.0,GA04-000005-000-101,AL 7075 MMS 159 T7351 2.5 X 8.27 X 15.16 INCH,17,152.0,BLR,,CSGST0,,N,0,76.10.9030,222101,2584.0,221810.56,0,0,0,0.0,0,0.0,0,5809.0,0.0,498644.56
8383,24351295,622,GLD30240,thyssenkrupp Aerospace India Private Limited,praveen,BLR102501IV0017,USD,2025-01-08,2025-01-08,2025-01-08,I,--,24351295,2.0,GR03-000192-000-000,Al 7075 T7351 MMS 159 1 X 7 X 17 INCH,13,62.0,BLR,,CSGST0,,N,0,76.10.9030,222601,806.0,69187.04,0,0,0,0.0,0,0.0,0,5809.0,0.0,498644.56
8383,24351295,622,GLD30240,thyssenkrupp Aerospace India Private Limited,praveen,BLR102501IV0017,USD,2025-01-08,2025-01-08,2025-01-08,I,--,24351295,3.0,GR03-000164-000-000,AL 7075 T7351 MMS159 0.5 X 18 X 33 INCH,6,253.0,BLR,,CSGST0,,N,0,76.10.9030,222101,1518.0,130305.12,0,0,0,0.0,0,0.0,0,5809.0,0.0,498644.56
